Engine,No. of Cylinders,Valves Per Cylinder,Valve Configuration,Fuel Supply System,Fuel Type,Engine Type,Emission Norm Compliance,Drive Type,Transmission,Power
1199 cc,4.0,4.0,SOHC,PGM - Fi,Petrol,i-VTEC Petrol Engine,BS IV,FWD,Manual,88.7 bhp
998 cc,3.0,4.0,DOHC,MPFi,Petrol,K10B Engine,BS VI,FWD,Automatic,67.05 bhp
1198 cc,4.0,4.0,SOHC,,Petrol,i-VTEC Petrol Engine,BS IV,FWD,Manual,86.7 bhp
998 cc,3.0,4.0,DOHC,MPFi,Petrol,K10B Engine,BS IV,FWD,Automatic,67.04 bhp
1197 cc,3.0,4.0,,,Petrol,mStallion (TGDi) engine,BS VI 2.0,FWD,Automatic,128.73 bhp
2360 cc,4.0,4.0,DOHC,MPFI,Petrol,Petrol,BS III,All Wheel Drive,Automatic,
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,DOHC Kappa2 Engine,BSIV,FWD,Manual,78.9 bhp
1498 cc,4.0,2.0,SOHC,Direct Injection,Diesel,TDCi Diesel Engine,BS IV,FWD,Manual,98.59 bhp
1499 cc,4.0,4.0,DOHC,Direct Injection,Petrol,Ti-VCT Petrol Engine,BS IV,FWD,Manual,110 bhp
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,VTVT Petrol Engine,BS IV,FWD,Manual,81.86 bhp
1956 cc,4.0,4.0,,,Diesel,2.0L Multijet Diesel,BS VI,4x4,Automatic,167.67 bhp
1956 cc,4.0,4.0,,,Diesel,Kryotec 2.0L,BS VI 2.0,FWD,Automatic,167.62 bhp
1984 cc,4.0,4.0,,direct injection,Petrol,2.0 L TSI Petrol Engine,BS VI,FWD,Automatic,187.74 bhp
2982 cc,4.0,4.0,DOHC,CRDi,Diesel,D-4D Diesel Engine,BS IV,FWD,Manual,168.5 bhp
2393 cc,4.0,4.0,DOHC,CRDi,Diesel,2.4L Diesel Engine,BS VI,RWD,Automatic,148 bhp
1493 cc,4.0,4.0,DOHC,CRDi,Diesel,1.5 L U2 CRDi Diesel,BS VI,,Manual,113.45 bhp
1987 cc,4.0,4.0,DOHC,,Petrol,2.0 TNGA 5th Generation In-Line VVTi,BS VI 2.0,FWD,Automatic,183.72 bhp
2393 cc,7.0,4.0,DOHC,Direct Injection,Diesel,2-GD FTV Engine,BS IV,RWD,Manual,147.8 bhp
1396 cc,4.0,4.0,DOHC,MPFI,Petrol,In-Line Engine,Bharat Stage IV,FWD,Automatic,
1248 cc,4.0,4.0,DOHC,CRDi,Diesel,DDiS 200 Diesel Engine,BS IV,FWD,Manual,88.5 bhp
,,,,,Electric,,ZEV,FWD,Automatic,120.69 bhp
998 cc,3.0,4.0,,GDi,Petrol,Smartstream G1.0 T - GDi,BS VI,FWD,Automatic,118.36 bhp
1248 cc,4.0,4.0,DOHC,CRDI,Diesel,D13A SHVS Engine,BS IV,FWD,Manual,88.5 bhp
1591 cc,4.0,4.0,DOHC,MPFI,Petrol,VTVT Petrol Engine,BS IV,FWD,Manual,121.3 bhp
1396 cc,4.0,4.0,DOHC,CRDi,Diesel,U2 CRDI Engine,BS VI,FWD,Manual,88.7 bhp
1490 cc,3.0,4.0,,,Petrol,M15D With Strong Hybrid,BS VI 2.0,FWD,Automatic,91.18 bhp
2143 cc,4.0,4.0,DOHC,CRDi,Diesel,In Line Diesel Engine,Euro VI,FWD,Automatic,136 bhp
1999 cc,4.0,4.0,DOHC,,Petrol,Petrol Engine,BS IV,RWD,Automatic,246.74 bhp
1997 cc,4.0,4.0,,,Petrol,mStallion 150 TGDi,BS VI 2.0,4WD,Automatic,150.19 bhp
1461 cc,4.0,4.0,DOHC,CRDI,Diesel,dCi Diesel Engine,BS IV,FWD,Manual,108.45 bhp
1991 cc,4.0,4.0,SOHC,CRDI,Diesel,"4 Cylinder, VCDi",Euro IV,,Manual,147.9 bhp
799 cc,3.0,4.0,DOHC,MPFi,Petrol,0.8L Petrol Engine,BS VI,FWD,Manual,53.64 bhp
1493 cc,4.0,4.0,DOHC with VGT,CRDi,Diesel,1.5 l U2 CRDi diesel,BS VI,,Manual,113.45 bhp
1199 cc,4.0,4.0,,,Petrol,i-VTEC,BS VI 2.0,FWD,Manual,88.50 bhp
1198 cc,3.0,4.0,,MPFI,Petrol,mFALCON G80,BS VI,2WD,Manual,82 bhp
796 cc,3.0,4.0,SOHC,MPFI,Petrol,In-Line Engine,Bharat Stage IV,FWD,Manual,46.3 bhp
998 cc,3.0,4.0,,GDi,Petrol,1.0 l Kappa Turbo,BS VI 2.0,FWD,Automatic,118 bhp
1462 cc,4.0,4.0,DOHC,MPFI,Petrol,K15 Smart Hybrid,BS VI,FWD,Automatic,103.26 bhp
1086 cc,4.0,3.0,SOHC,MPFI,Petrol,IRDE2 Engine,BSIV,FWD,Manual,68.05 bhp
796 cc,3.0,4.0,,,Petrol,F8D,BS VI 2.0,FWD,Manual,47.33 bhp
999 cc,3.0,4.0,DOHC,MPFi,Petrol,Petrol Engine,,FWD,Manual,67 bhp
1248 cc,4.0,4.0,DOHC,DDIS,Diesel,DDiS 200 Diesel Engine,BS IV,FWD,Manual,88.5 bhp
1591 cc,4.0,4.0,DOHC,MPFi,Petrol,VTVT Petrol Engine,BS VI,FWD,Automatic,121.3 bhp
998 cc,3.0,4.0,,GDi,Petrol,Smartstream G1.0 T - GDi,BS VI,FWD,Manual,118.36 bhp
1493 cc,4.0,4.0,,CRDi,Diesel,U2 CRDi Diesel,BS VI,FWD,Manual,98.6 bhp
1798 cc,4.0,4.0,DOHC,EFI,Petrol,2ZR-FE Petrol Engine,BS IV,FWD,Manual,138.03 bhp
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,Kappa VTVT Petrol Engine,BS VI,FWD,Automatic,81.86 bhp
814 cc,3.0,3.0,SOHC,MPFI,Petrol,Petrol Engine,,FWD,Manual,55.2 bhp
814 cc,3.0,3.0,SOHC,MPFI,Petrol,Petrol Engine,,FWD,Manual,55.2 bhp
1172 cc,4.0,2.0,SOHC,MPFi,Petrol,FIRE Engine,,FWD,Manual,67 bhp
998 cc,3.0,4.0,,MPFI,Petrol,K Series Petrol Engine,BS IV,FWD,Manual,67.1 bhp
1198 cc,3.0,4.0,DOHC,,Petrol,In Line Petrol Engine,BS IV,FWD,Manual,75 bhp
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,Kappa VTVT Petrol Engine,BSIV,FWD,Manual,82.85 bhp
814 cc,3.0,3.0,SOHC,MPFI,Petrol,Petrol Engine,BSIV,FWD,Manual,55.2 bhp
799 cc,3.0,4.0,DOHC,MPFi,Petrol,0.8L Petrol Engine,BS VI,2WD,Manual,53.64 bhp
814 cc,3.0,3.0,SOHC,MPFI,Petrol,Petrol Engine,,FWD,Manual,55.2 bhp
1248 cc,4.0,4.0,DOHC,Direct Injection,Diesel,MULTIJET Engine,,FWD,Manual,75 bhp
1396 cc,4.0,4.0,DOHC,CRDI,Diesel,Diesel Engine,"BS III, BS IV (For Metro Cities)",,Manual,
1969 cc,4.0,4.0,DOHC,Direct Injection,Diesel,Twin Turbo Diesel Engine,BS VI,AWD,Automatic,235 bhp
1996 cc,4.0,4.0,,,Diesel,DIESEL 2.0L TWIN TURBO,BS VI 2.0,4WD,Automatic,212.55 bhp
1999 cc,4.0,4.0,,,Petrol,,BS VI,RWD,Automatic,325.48 bhp
1498 cc,4.0,4.0,DOHC,MPFI,Petrol,H4K Petrol Engine,BS IV,FWD,Manual,104.55 bhp
1497 cc,3.0,4.0,DOHC,Direct Injection,Petrol,Ti-VCT Petrol Engine,BS IV,FWD,Manual,121.36 bhp
998 cc,3.0,4.0,,,Petrol,1.0 l Turbo GDi petrol,BS VI,,Manual,118.36 bhp
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,Kappa VTVT Petrol Engine,,FWD,Manual,81.86 bhp
1197 cc,3.0,4.0,DOHC,MPFI,Petrol,1.2L Turbo Petrol,BS VI,FWD,Manual,108.6 bhp
1497 cc,4.0,4.0,DOHC,CRDi,Diesel,1.5 Diesel Engine,BS IV,FWD,Manual,115 bhp
1498 cc,4.0,4.0,DOHC,CRDi,Diesel,i-DTEC Diesel Engine,BS IV,FWD,Manual,98.6 bhp
1498 cc,4.0,4.0,,TSI,Petrol,1.5L TSI EVO with ACT,BS VI,,Automatic,147.51 bhp
1462 cc,4.0,4.0,,,Petrol,k-series1.5l,BS VI,,Manual,103.26 bhp
1997 cc,4.0,4.0,DOHC,Direct Injection,Diesel,mHawk Diesel Engine,BS IV,FWD,Manual,140 bhp
1493 cc,4.0,4.0,,MPI,Diesel,SMARTSTREAM G1.2,BS VI,FWD,Manual,81.86 bhp
1197 cc,4.0,4.0,,MPi,Petrol,Kappa 1.2 L MPi Petrol,BS VI,FWD,Manual,81.86 bhp
1198 cc,3.0,4.0,DOHC,MPFI,Petrol,Revotron 1.2L Turbocharge,BS IV,FWD,Manual,108.5 bhp
1493 cc,3.0,4.0,,,Diesel,mHAWk100,BS VI,RWD(with MTT),Manual,100 bhp
1199 cc,3.0,4.0,,,Petrol,1.2 L Revotron,BS VI,,Manual,84.82 bhp
1493 cc,4.0,4.0,,GRDi,Diesel,1.5 l U2,BS VI 2.0,FWD,Manual,114 bhp
1498 cc,4.0,4.0,DOHC,Direct Injection,Diesel,i DTEC Diesel Engine,BS IV,FWD,Manual,97.9 bhp
1496 cc,3.0,4.0,,,Petrol,1.5 L Petrol Engine,BS VI,FWD,Manual,120.69 bhp
1496 cc,3.0,4.0,,,Petrol,1.5 L Petrol Engine,BS VI,FWD,Automatic,120.69 bhp
998 cc,3.0,4.0,,GDi,Petrol,Kappa 1.0 L Turbo GDi Petrol,BS VI,FWD,Manual,118.35 bhp
2179 cc,4.0,4.0,DOHC,Direct Injection,Diesel,mHawk155 Diesel Engine,BS VI,FWD,Manual,152.87 bhp
1956 cc,4.0,4.0,DOHC,CRDI,Diesel,2.0-Litre 4-Cyl Multijet,BS IV,4X4,Manual,170 bhp
1461 cc,4.0,4.0,DOHC,CRDi,Diesel,K9K Diesel Engine,BS IV,FWD,Manual,83.14 bhp
1197 cc,3.0,4.0,,,Petrol,1.2L Petrol,BS VI,,Automatic,108.62 bhp
1462 cc,4.0,4.0,,,Petrol,K15B Smart Hybrid,BS VI,FWD,Manual,103.2 bhp
1497 cc,4.0,4.0,DOHC,CDI,Diesel,"Revotorq, 1.5L Turbocharg",BS IV,FWD,Manual,108.5 bhp
1498 cc,4.0,4.0,DOHC,Direct Injection,Diesel,i DTEC Diesel Engine,BS IV,FWD,Manual,98.6 bhp
2179 cc,4.0,4.0,DOHC,CRDi,Diesel,2.2 LTR. VARICOR 400,BS IV,4WD,Manual,153.86 bhp
1396 cc,4.0,4.0,DOHC,CRDI,Diesel,U2 CRDI Diesel Engine,,FWD,Manual,88.76 bhp
1197 cc,4.0,4.0,,,Petrol,1.2 l Kappa,BS VI 2.0,FWD,Manual,81.8 bhp
1199 cc,3.0,4.0,,,Petrol,1.2L Revotron,BS VI 2.0,FWD,Manual,85 bhp
1199 cc,3.0,4.0,,,Petrol,1.2l Turbocharged Revotron Engine,BS VI,,Manual,118.35 bhp
1197 cc,4.0,4.0,,MPi,Petrol,Kappa 1.2 L MPi Petrol,BS VI,FWD,Manual,81.86 bhp
1248 cc,4.0,4.0,DOHC,CRDI,Diesel,DDIS 200 Engine,BS IV,FWD,Manual,88.5 bhp
1498 cc,4.0,4.0,DOHC,CRDI,Diesel,DDiS 225 Diesel Engine,BS IV,FWD,Manual,93.87 bhp
1999 cc,4.0,4.0,DOHC,MPFi,Petrol,Dual VTVT Nu 2.0 Petrol,BS IV,2WD,Automatic,152.88 bhp
1493 cc,4.0,4.0,,CRDi,Diesel,1.5L CRDi VGT,BS VI 2.0,FWD,Automatic,114 bhp
999 cc,3.0,4.0,DOHC,MPFi,Petrol,Petrol Engine,BS VI,FWD,Automatic,67 bhp
2994 cc,6.0,4.0,,TFSI,Petrol,3.0 L V6 TFSI Petrol engine,BS VI,AWD,Automatic,348.66 bhp
1984 cc,4.0,4.0,,direct injection,Petrol,2.0 L TSI Petrol Engine,BS VI,FWD,Automatic,187.74 bhp
1497 cc,4.0,4.0,SOHC,EFI(Electronic Fuel Injection),Petrol,SOHC i-VTEC,,FWD,Manual,116.3 bhp
1248 cc,4.0,4.0,DOHC,CRDI,Diesel,DDiS Diesel Engine,BS IV,FWD,Manual,88.8 bhp
1968 cc,4.0,4.0,DOHC,CRDI,Diesel,TDI Diesel Engine,Euro V,FWD,Automatic,174.33 bhp
1999 cc,4.0,4.0,,,Petrol,mStallion,BS VI 2.0,FWD,Automatic,197 bhp
999 cc,3.0,4.0,DOHC,MPFi,Petrol,Petrol Engine,,FWD,Automatic,67 bhp
999 cc,3.0,4.0,DOHC,MPFi,Petrol,Petrol Engine,BS VI,FWD,Manual,67 bhp
1591 cc,4.0,4.0,DOHC,MPFI,Petrol,VTVT Petrol Engine,,,Automatic,121.3 bhp
1353 cc,4.0,4.0,,GDi,Petrol,Smartstream G1.4,BS VI,FWD,Automatic,138.08 bhp
1461 cc,4.0,4.0,DOHC,Common Rail Direct Injection (dCi),Diesel,1.5L 16 Valve Diesel Engi,,FWD,Manual,84 bhp
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,DOHC Kappa2 Engine,BSIV,FWD,Automatic,78.9 bhp
2953 cc,4.0,4.0,DOHC,Direct Injection Common Rail,Diesel,TDCi Diesel Engine,BSIV,FWD,Automatic,153.86 bhp
1999 cc,4.0,4.0,,"Multi point, indirect injection",Petrol,2.0 L Beta II I4,BS VI 2.0,FWD,Automatic,153.81 bhp
1462 cc,4.0,4.0,,,Petrol,K15C With Mild Hybrid System,BS VI 2.0,FWD,Automatic,101.64 bhp
1451 cc,4.0,4.0,,,Petrol,1.5L Turbocharged Intercooled,BS VI,,Automatic,141 bhp
2393 cc,7.0,4.0,DOHC,Direct Injection,Diesel,2-GD FTV Engine,BS IV,RWD,Manual,147.8 bhp
999 cc,3.0,4.0,,,Petrol,1.0L TSI,BS VI 2.0,FWD,Manual,113.98 bhp
1999 cc,4.0,4.0,,TGDi,Petrol,2.0L Turbo Petrol,BS VI,FWD,Automatic,197.13 bhp
1493 cc,4.0,4.0,DOHC,Common rail direct injection,Diesel,1.5 l diesel CRDi engine,BS VI,,Manual,113.42 bhp
1956 cc,4.0,4.0,,,Diesel,Kryotec 2.0 L Turbocharged Engine,BS VI 2.0,,Automatic,167.67 bhp
1353 cc,4.0,4.0,,GDi,Petrol,Smartstream G1.4 T-GDi,BS VI,2WD,Automatic,138.05 bhp
1497 cc,4.0,4.0,,,Diesel,1.5L Turbo Diesel with CRDi,BS VI,,Manual,115.05 bhp
1197 cc,4.0,4.0,,,Petrol,1.2 l Kappa,BS VI 2.0,FWD,Manual,82 bhp
1462 cc,4.0,4.0,,,Petrol,K15C Smart Hybrid,BS VI,,Manual,101.65 bhp
999 cc,3.0,4.0,,,Petrol,1.0L TSI,BS VI 2.0,FWD,Automatic,113.98 bhp
1451 cc,4.0,4.0,,,Petrol,1.5 L Turbocharged Intercooled,BS VI 2.0,FWD,Manual,141 bhp
999 cc,3.0,4.0,,,Petrol,1.0 TSI Petrol Engine,BS VI 2.0,FWD,Manual,113.98 bhp
998 cc,3.0,4.0,,,Petrol,1.0L Turbo Boosterjet,BS VI 2.0,FWD,Automatic,98.69 bhp
1482 cc,4.0,4.0,,GDi,Petrol,Smartstream T-GDi,BS VI 2.0,FWD,Manual,157.81 bhp
1498 cc,4.0,4.0,,,Petrol,i-VTEC,BS VI 2.0,FWD,Manual,119.35 bhp
1451 cc,4.0,4.0,,,Petrol,,BS VI,FWD,Automatic,141 bhp
998 cc,3.0,4.0,,GDi,Petrol,Smartstream G1.0 T-GDi,BS VI,FWD,Automatic,118.36 bhp
999 cc,3.0,4.0,,,Petrol,1.0L TSI,BS VI 2.0,FWD,Automatic,113.98 bhp
1353 cc,4.0,4.0,DOHC,GDI,Petrol,,BS VI,2WD,Automatic,138 bhp
1462 cc,4.0,4.0,DOHC,MPFI,Petrol,K15 Smart Hybrid,BS VI,FWD,Manual,103.26 bhp
1493 cc,4.0,4.0,DOHC,CRDi,Diesel,1.5L CRDi VGT,BS VI,2WD,Automatic,113.42 bhp
1493 cc,4.0,4.0,,,Diesel,1.5 l U2 diesel,BS VI,,Manual,98.63 bhp
1498 cc,4.0,4.0,,,Petrol,VTi-TECH,BS VI,,Automatic,108.49 bhp
1462 cc,4.0,4.0,,,Petrol,,BS VI,2WD,Manual,101.64 bhp
999 cc,3.0,4.0,,TSI,Petrol,1.0L TSI,BS VI 2.0,FWD,Automatic,114 bhp
1497 cc,4.0,4.0,,MPi,Petrol,Smartstream G1.5,BS VI 2.0,2WD,Manual,113.42 bhp
999 cc,3.0,4.0,,TSI,Petrol,1.0L TSI,BS VI 2.0,FWD,Automatic,114 bhp
999 cc,3.0,4.0,,,Petrol,1.0 TSI Petrol,BS VI 2.0,FWD,Manual,114 bhp
998 cc,3.0,4.0,,GDi,Petrol,Smartstream G1.0 T-GDi,BS VI,FWD,Automatic,118.36 bhp
999 cc,3.0,4.0,,Direct Injection,Petrol,1.0 L TSI Petrol,BS VI,FWD,Automatic,113.98 bhp
1349 cc,3.0,4.0,,,Petrol,220TURBO,BS VI,,Automatic,138.08 bhp
2987 cc,6.0,4.0,DOHC,Direct Injection,Diesel,V-Type Diesel Engine,Euro VI,RWD,Automatic,254.79 bhp
1997 cc,4.0,4.0,DOHC,CRDI,Petrol,TD4 Diesel Engine,,AWD,Automatic,247 bhp
2393 cc,4.0,4.0,DOHC,CRDi,Diesel,2.4L Diesel Engine,BS VI,RWD,Manual,148 bhp
2198 cc,4.0,4.0,,CRDi,Diesel,2.2 L Turbo Diesel,BS VI,FWD,Automatic,182.38 bhp
2198 cc,4.0,4.0,,,Diesel,mHAWK,BS VI 2.0,FWD,Automatic,182 bhp
1956 cc,4.0,4.0,,,Diesel,2.0 L Multijet II Diesel,BS VI 2.0,4WD,Automatic,168 bhp
2198 cc,4.0,4.0,,,Diesel,mHawk (CRDi),BS VI 2.0,4WD,Automatic,172.45 bhp
1969 cc,4.0,4.0,,CRDi,Diesel,D4 Diesel Engine,BS IV,FWD,Automatic,190 bhp
3198 cc,4.0,4.0,DOHC,TDCi,Diesel,Diesel Engine,BS IV,4WD,Automatic,197 bhp
2694 cc,4.0,4.0,DOHC,,Petrol,2.7 L Dual VVT,BS VI,RWD,Manual,163.60 bhp
2993 cc,6.0,4.0,,CRDi,Diesel,TwinPower Turbo Inline 6 Cylinder Engine,BS VI,RWD,Automatic,261.49 bhp
2393 cc,4.0,4.0,DOHC,CRDi,Diesel,2-GD FTV Engine,BS VI,RWD,Manual,147.51 bhp
1353 cc,4.0,4.0,DOHC,GDi,Petrol,1.4 L Turbo GDi Petrol,BS VI,,Automatic,138.12 bhp
1199 cc,3.0,4.0,,,Petrol,1.2 L Revotron,BS VI,,Automatic,86.83 bhp
1950 cc,4.0,4.0,,,Diesel,,BS VI,AWD,Automatic,187.74 bhp
2755 cc,4.0,4.0,DOHC,Direct Injection,Diesel,2.8 L Diesel engine,BS VI 2.0,2WD,Manual,201.15 bhp
2755 cc,4.0,4.0,DOHC,Direct Injection,Diesel,1-GD FTV Engine,BS IV,RWD,Manual,174.5 bhp
999 cc,3.0,4.0,DOHC,TSI,Petrol,1.0L TSI Petrol,BS VI,FWD,Automatic,108.62 bhp
2393 cc,4.0,4.0,DOHC,CRDi,Diesel,2.4L Diesel Engine,BS VI,RWD,Automatic,148 bhp
1582 cc,4.0,4.0,DOHC,CRDi,Diesel,U2 VGT Diesel Engine,BS IV,FWD,Manual,126.2 bhp
1199 cc,4.0,4.0,SOHC,PGM - Fi,Petrol,i-VTEC Petrol Engine,BS IV,FWD,Automatic,88.7 bhp
799 cc,3.0,4.0,,,Petrol,0.8 SCe,BS VI,,Manual,53.26 bhp
1462 cc,4.0,4.0,,,Petrol,K15C Smart Hybrid,BS VI,2WD,Manual,101.65 bhp
999 cc,3.0,4.0,,,Petrol,1.0 SCe,BS VI,,Automatic,67.06 bhp
1197 cc,4.0,4.0,,Dual Jet VVT,Petrol,Advanced K Series,BS VI 2.0,FWD,Manual,88.50 bhp
1997 cc,4.0,4.0,DOHC,Direct Injection,Diesel,mHawk Diesel Engine,BS IV,FWD,Automatic,140 bhp
799 cc,3.0,4.0,DOHC,MPFi,Petrol,0.8L Petrol Engine,BS IV,2WD,Manual,53.64 bhp
1194 cc,3.0,4.0,DOHC,Direct Injection,Petrol,Ti-VCT Petrol Engine,BS IV,FWD,Manual,94.93 bhp
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,Kappa Petrol Engine,BSIV,FWD,Manual,78.9 bhp
1198 cc,4.0,4.0,SOHC,PGM - Fi,Petrol,i-VTEC Engine,BSIV,FWD,Manual,86.8 bhp
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,Kappa VTVT Petrol Engine,BSIV,FWD,Manual,82.85 bhp
1198 cc,3.0,4.0,DOHC,Electronic Injection System,Petrol,Petrol Engine,BS IV,FWD,Manual,67 bhp
1396 cc,4.0,4.0,DOHC,CRDI,Diesel,U2 CRDI Diesel Engine,BSIV,FWD,Manual,88.76 bhp
1120 cc,3.0,4.0,DOHC,CRDi,Diesel,U2 CRDi  Diesel Engine,BS IV,FWD,Manual,70 bhp
1197 cc,4.0,4.0,DOHC,EFI,Petrol,Petrol Engine,BS IV,FWD,Manual,78.9 bhp
796 cc,3.0,4.0,DOHC,MPFi,Petrol,F8D Petrol Engine,BS IV,FWD,Manual,47.3 bhp
1199 cc,4.0,4.0,DOHC,MPFI,Petrol,SMARTECH Petrol Engine,BS IV,FWD,Manual,82.5 bhp
1396 cc,4.0,4.0,DOHC,CRDI,Diesel,Diesel,"BS III, BS IV (For Metro Cities)",,Manual,
1461 cc,4.0,2.0,SOHC,Common Rail Injection,Diesel,K9K In-Line Diesel Engine,BS IV,FWD,Manual,63.12 bhp
1196 cc,4.0,4.0,DOHC,SEFI,Petrol,Petrol Engine,BS IV,Front Wheel Drive,Manual,70 bhp
1172 cc,4.0,2.0,SOHC,MPFi,Petrol,FIRE Engine,,FWD,Manual,67 bhp
2198 cc,4.0,4.0,DOHC,TDCi,Diesel,TDCI Diesel Engine,BS IV,RWD,Automatic,158.2 bhp
2996 cc,6.0,4.0,,,Petrol,V6 bi-turbo engine,BS VI,,Automatic,
1984 cc,4.0,4.0,,,Petrol,2.0 L Turbocharged Petrol Engine,BS VI,4WD,Automatic,187.74 bhp
3198 cc,4.0,4.0,DOHC,TDCi,Diesel,TDCI Diesel Engine,BS IV,4WD,Automatic,197 bhp
,4.0,4.0,,,Petrol,,,,Manual,
1497 cc,4.0,4.0,SOHC,PGM-Fi,Petrol,i VTEC Engine,BS IV,FWD,Automatic,117.3 bhp
1197 cc,4.0,4.0,DOHC,MPFI,CNG,Kappa VTVT Petrol Engine,BS IV,FWD,Automatic,82 bhp
1598 cc,4.0,4.0,DOHC,MPFI,Petrol,In Line Petrol Engine,BS IV,FWD,Manual,103.6 bhp
1197 cc,4.0,4.0,DOHC,EFI,Petrol,Petrol Engine,BS IV,FWD,Manual,78.9 bhp
1248 cc,4.0,4.0,DOHC,CRDI,Diesel,DDIS 200 Engine,,,Manual,88.5 bhp
1498 cc,4.0,4.0,SOHC,Common Rail,Diesel,TDCi Diesel Engine,BS IV,FWD,Manual,99.23 bhp
1798 cc,4.0,4.0,DOHC,Direct Injection,Petrol,Petrol Engine,BS IV,FWD,Automatic,177.5 bhp
1497 cc,4.0,4.0,SOHC,,Petrol,i-VTEC Petrol Engine,BS IV,FWD,Manual,117.3 bhp
1497 cc,4.0,4.0,SOHC,PGM-Fi,Petrol,i VTEC Engine,BS IV,FWD,Manual,117.3 bhp
1197 cc,4.0,4.0,,,Petrol,1.2 Kappa petrol,BS VI,,Automatic,81.86 bhp
1197 cc,4.0,4.0,DOHC,Direct Injection,Petrol,Kappa VTVT Petrol Engine,BSIV,FWD,Manual,81.86 bhp
1199 cc,4.0,4.0,,,Petrol,1.2L i-VTEC,BS VI 2.0,FWD,Manual,89 bhp
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,K Series Petrol Engine,BS IV,FWD,Manual,85.80 bhp
1498 cc,4.0,4.0,DOHC,CRDi,Diesel,i-DTEC Diesel Engine,BS IV,FWD,Manual,98.63 bhp
1197 cc,4.0,4.0,,,Petrol,,BS VI,,Manual,88.50 bhp
1968 cc,4.0,4.0,,CRDi,Diesel,Turbocharged Diesel Engin,BS IV,FWD,Manual,138.1 bhp
1248 cc,4.0,4.0,DOHC,CRDI,Diesel,DDiS Diesel Engine,,FWD,Automatic,74.02 bhp
1197 cc,4.0,4.0,DOHC,Direct Injection,Petrol,Kappa VTVT Petrol Engine,BS IV,FWD,Automatic,82 bhp
1248 cc,4.0,4.0,DOHC,CRDI,Diesel,DDIS Diesel Engine,BS IV,FWD,Manual,88.5 bhp
998 cc,3.0,4.0,,,Petrol,K10C,BS VI 2.0,FWD,Automatic,67.77 bhp
1197 cc,4.0,4.0,DOHC,Direct Injection,Petrol,Kappa VTVT Petrol Engine,BS IV,FWD,Manual,82 bhp
1047 cc,3.0,4.0,DOHC,CRDi,Diesel,Revotorq Engine,BS IV,FWD,Manual,69 bhp
1598 cc,4.0,4.0,DOHC,MPFI,Petrol,MPI Petrol Engine,BS IV,FWD,Manual,103.5 bhp
1197 cc,4.0,4.0,,Dual Jet VVT,Petrol,Advanced K Series,BS VI 2.0,FWD,Automatic,88.50 bhp
998 cc,3.0,4.0,,,Petrol,K10C,BS VI 2.0,FWD,Manual,67.77 bhp
1197 cc,4.0,4.0,DOHC,MPFI,Petrol,In-Line Engine,Bharat Stage IV,,Manual,
1497 cc,4.0,4.0,SOHC,EFI (Electronic Fuel Injection),Petrol,In-Line Engine,,FWD,Manual,
2523 cc,4.0,2.0,SOHC,CRDi,Diesel,M2DiCR Diesel Engine,BS IV,RWD,Manual,62.1 bhp
1493 cc,3.0,2.0,,CRDi,Diesel,mHawk 100 Diesel Engine,,RWD,Manual,100 bhp
1490 cc,3.0,4.0,,,Petrol,M15D With Strong Hybrid,BS VI 2.0,FWD,Automatic,91.18 bhp
1956 cc,4.0,4.0,,,Diesel,Kryotec 2.0 L Turbocharged Engine,BS VI 2.0,,Automatic,167.67 bhp
1956 cc,4.0,4.0,,,Diesel,Kryotec 2.0 L Turbocharged Engine,BS VI 2.0,,Automatic,167.67 bhp
1482 cc,4.0,4.0,DOHC,GDi,Petrol,1.5 l Turbo GDi Petrol,BS VI 2.0,FWD,Manual,157.57 bhp
2393 cc,4.0,4.0,DOHC,CRDi,Diesel,2-GD FTV Engine,BS VI,RWD,Manual,147.51 bhp
2393 cc,7.0,4.0,DOHC,CRDi,Diesel,2-GD FTV Engine,BS VI,RWD,Manual,147.51 bhp
1451 cc,4.0,4.0,,,Petrol,1.5L Turbocharged Intercooled,BS VI 2.0,FWD,Automatic,141.04 bhp
2179 cc,4.0,4.0,,Direct Injection,Diesel,Diesel Engine,,RWD,Automatic,187.7 bhp
1498 cc,4.0,4.0,,Direct Injection,Petrol,1.5 L TSI Petrol,BS VI 2.0,FWD,Automatic,147.51 bhp
2393 cc,4.0,4.0,DOHC,Direct Injection,Diesel,2-GD FTV Engine,BS IV,RWD,Manual,147.8 bhp
2393 cc,4.0,4.0,DOHC,Direct Injection,Diesel,2-GD FTV Engine,BS IV,RWD,Manual,147.8 bhp
2179 cc,4.0,4.0,,CRDI,Diesel,TD4 Diesel Engine,Euro IV,4WD,Automatic,147.51 bhp
1498 cc,4.0,4.0,DOHC,TSI,Petrol,1.5 L TSI EVO with ACT,BS VI,FWD,Automatic,147.94 bhp
